Courier,Service_Category,Destination_Region,Weight_kg,Insured_Value_Rs,Rate_Rs
M&P,Economy,Balochistan,10.1,0,588
Leopard,Overland,Sindh,2.35,0,355
Pakistan Post,Local,Sindh,2.09,50000,841
Leopard,Overnight,Balochistan,7.66,10000,1202
Pakistan Post,City to City,Sindh,1.49,0,351
TCS,Overnight,Sindh,13.41,0,2075
Leopard,Overland,Balochistan,2.38,20000,600
Leopard,Economy,Punjab,2.1,0,214
Pakistan Post,Local,Islamabad,0.55,0,203
M&P,Same Day,Sindh,3.63,50000,1292
TCS,Economy,Islamabad,8.46,0,604
Pakistan Post,Local,Pakhtunkhwa,3.51,10000,433
Pakistan Post,City to City,Pakhtunkhwa,4.4,100000,1729
Pakistan Post,City to City,Punjab,0.22,0,276
Pakistan Post,Local,Sindh,0.66,0,207
Leopard,Economy,Sindh,0.53,0,150
Pakistan Post,Local,Punjab,3.08,10000,409
TCS,Overnight,Balochistan,0.46,0,668
M&P,Economy,Sindh,12.79,10000,757
Leopard,Overnight,Balochistan,4.39,10000,978
M&P,Economy,Pakhtunkhwa,0.55,0,163
M&P,Local,Islamabad,3.04,0,374
Pakistan Post,Local,Punjab,5.07,0,382
M&P,Overnight,Islamabad,0.73,20000,793
Leopard,Overland,Islamabad,2.76,0,377
M&P,Overland,Balochistan,4.21,0,557
M&P,City to City,Pakhtunkhwa,5.26,20000,1017
Pakistan Post,Local,Sindh,6.13,10000,515
TCS,Local,Pakhtunkhwa,1.19,0,308
Leopard,Overland,Sindh,2.75,50000,969
M&P,Overland,Sindh,2.26,10000,489
Leopard,Overland,Islamabad,0.89,10000,341
Pakistan Post,City to City,Islamabad,3.1,50000,1116
M&P,Economy,Islamabad,1.37,100000,1330
Pakistan Post,City to City,Islamabad,2.52,0,475
Pakistan Post,Local,Sindh,2.44,0,278
Pakistan Post,City to City,Pakhtunkhwa,0.97,100000,1518
Pakistan Post,City to City,Pakhtunkhwa,9.86,0,989
Pakistan Post,Local,Sindh,1.21,0,232
Leopard,Overnight,Sindh,0.74,0,502
TCS,Overnight,Punjab,1.2,100000,1931
Leopard,Overnight,Islamabad,4.99,0,947
TCS,City to City,Pakhtunkhwa,3.56,100000,1892
Pakistan Post,City to City,Pakhtunkhwa,1.9,0,394
TCS,Economy,Pakhtunkhwa,7.17,50000,1076
Leopard,Overland,Balochistan,0.17,50000,767
TCS,Local,Punjab,8.66,0,663
M&P,City to City,Pakhtunkhwa,10.5,0,1331
TCS,Overnight,Pakhtunkhwa,0.27,0,625
Leopard,Overland,Balochistan,1.73,50000,907
TCS,City to City,Balochistan,0.93,50000,1049
TCS,City to City,Balochistan,1.39,10000,648
M&P,Economy,Punjab,0.83,20000,394
Pakistan Post,Local,Punjab,0.61,0,207
Leopard,Overland,Balochistan,1.57,0,283
M&P,Overnight,Sindh,3.41,100000,1897
Pakistan Post,City to City,Islamabad,0.37,50000,879
TCS,Overland,Pakhtunkhwa,1.54,0,349
TCS,Local,Balochistan,2.04,0,382
Pakistan Post,City to City,Pakhtunkhwa,16.78,20000,1886
M&P,Local,Islamabad,1.97,100000,1424
TCS,Overnight,Sindh,0.42,0,638
Pakistan Post,Local,Pakhtunkhwa,1.23,0,227
TCS,Overnight,Pakhtunkhwa,5.53,100000,2250
Leopard,Economy,Punjab,8.79,50000,1060
M&P,Local,Punjab,2.04,20000,520
Leopard,Overnight,Punjab,1.82,0,603
M&P,Local,Punjab,0.33,100000,1467
M&P,Local,Sindh,9.82,0,630
M&P,Overnight,Pakhtunkhwa,1.99,0,717
TCS,Same Day,Pakhtunkhwa,0.19,10000,623
Leopard,Overnight,Balochistan,6.05,0,1031
Leopard,Economy,Sindh,3.74,0,277
M&P,Economy,Islamabad,1.8,100000,1361
M&P,City to City,Islamabad,4.34,50000,1329
M&P,Overnight,Islamabad,0.1,20000,767
Pakistan Post,City to City,Punjab,4.66,0,615
TCS,Economy,Punjab,6.77,0,493
M&P,Local,Balochistan,1.48,0,290
Pakistan Post,Local,Sindh,8.85,100000,1646
Pakistan Post,Local,Sindh,0.44,20000,443
Pakistan Post,City to City,Balochistan,2.66,50000,1044
M&P,Overland,Balochistan,0.6,0,219
M&P,Economy,Punjab,2.31,20000,493
Pakistan Post,City to City,Punjab,2.4,0,436
Pakistan Post,City to City,Sindh,1.81,0,379
TCS,Economy,Punjab,0.64,50000,754
Leopard,Economy,Islamabad,3.63,10000,399
M&P,Overnight,Sindh,1.33,100000,1791
TCS,Overnight,Punjab,0.52,20000,916
M&P,Overnight,Islamabad,1.77,10000,821
M&P,Overnight,Balochistan,2.24,0,731
M&P,Economy,Punjab,6.49,0,417
Leopard,Economy,Pakhtunkhwa,0.42,0,158
M&P,Overland,Islamabad,5.12,20000,924
Pakistan Post,Local,Punjab,0.91,0,216
Pakistan Post,City to City,Islamabad,4.99,100000,1853
TCS,Economy,Punjab,1.91,10000,368
M&P,City to City,Balochistan,4.05,0,662
Leopard,Overland,Pakhtunkhwa,0.88,0,227
Leopard,Economy,Sindh,0.52,10000,259
Leopard,Overnight,Balochistan,5.33,10000,1095
Pakistan Post,City to City,Balochistan,4.88,0,624
Pakistan Post,City to City,Sindh,3.7,20000,797
Pakistan Post,City to City,Islamabad,1.06,20000,587
M&P,Economy,Balochistan,2.02,20000,472
Pakistan Post,City to City,Pakhtunkhwa,1.88,50000,984
M&P,Economy,Balochistan,6.75,100000,1643
M&P,Overland,Balochistan,10.46,0,1155
Pakistan Post,Local,Sindh,0.74,20000,449
TCS,Same Day,Islamabad,0.25,10000,588
M&P,City to City,Balochistan,2.61,0,528
TCS,Local,Sindh,0.3,50000,853
M&P,Local,Punjab,1.69,0,286
Pakistan Post,Local,Punjab,4.55,0,342
M&P,Economy,Sindh,0.32,0,167
TCS,Local,Pakhtunkhwa,9.1,0,733
TCS,Same Day,Islamabad,1.4,0,593
M&P,Local,Pakhtunkhwa,3.91,50000,1003
TCS,Same Day,Balochistan,0.42,50000,1079
Leopard,Overnight,Sindh,0.16,100000,1598
TCS,Local,Pakhtunkhwa,0.27,10000,392
M&P,Overland,Punjab,2.82,0,456
Leopard,Overland,Punjab,3.37,0,442
TCS,Economy,Pakhtunkhwa,0.3,50000,782
Pakistan Post,Local,Balochistan,2.47,0,288
TCS,Local,Pakhtunkhwa,0.55,50000,849
M&P,Overnight,Islamabad,3.85,50000,1396
TCS,Same Day,Balochistan,3.94,50000,1486
Pakistan Post,City to City,Balochistan,0.73,0,319
Pakistan Post,Local,Balochistan,0.62,50000,788
M&P,Same Day,Sindh,5.88,10000,1018
TCS,Local,Islamabad,2.61,50000,1001
Pakistan Post,Local,Pakhtunkhwa,2.01,0,268
TCS,Economy,Balochistan,3.05,0,325
Pakistan Post,Local,Islamabad,1.67,0,259
Pakistan Post,City to City,Punjab,1.49,0,383
M&P,Economy,Islamabad,5.6,50000,915
TCS,Overnight,Balochistan,2.64,20000,1070
TCS,Local,Punjab,6.03,0,542
TCS,Same Day,Pakhtunkhwa,3.62,0,826
M&P,Overnight,Balochistan,1.83,10000,824
Pakistan Post,City to City,Pakhtunkhwa,6.13,20000,962
Leopard,Overland,Punjab,3.95,0,514
M&P,Local,Islamabad,2.47,0,330
TCS,Overland,Punjab,5.39,100000,1902
M&P,Same Day,Islamabad,0.59,0,431
M&P,Economy,Islamabad,1.38,0,196
M&P,Economy,Pakhtunkhwa,0.75,0,177
M&P,Overnight,Balochistan,0.33,10000,692
M&P,City to City,Islamabad,5.67,0,849
TCS,Overnight,Balochistan,1.33,0,722
TCS,Overnight,Punjab,11.08,0,1841
Leopard,Overland,Sindh,0.2,0,190
M&P,City to City,Punjab,1.45,0,462
M&P,Economy,Sindh,3.54,0,276
Pakistan Post,City to City,Balochistan,1.58,0,388
M&P,Same Day,Punjab,0.76,0,454
TCS,Local,Punjab,7.75,10000,724
M&P,Local,Balochistan,1.28,10000,395
Leopard,Overland,Sindh,4.34,0,517
M&P,City to City,Pakhtunkhwa,6.45,50000,1448
M&P,Same Day,Punjab,4.8,0,808
TCS,Overland,Balochistan,4.86,0,717
Leopard,Overnight,Punjab,2.1,100000,1878
Pakistan Post,City to City,Islamabad,5.87,0,702
TCS,Same Day,Punjab,0.84,20000,765
Leopard,Economy,Islamabad,1.99,50000,809
Leopard,Overnight,Balochistan,1.55,0,604
TCS,Overland,Islamabad,3.14,20000,764
Pakistan Post,Local,Sindh,6.49,100000,1569
TCS,Overland,Pakhtunkhwa,3.47,10000,711
Pakistan Post,Local,Sindh,1.23,0,218
TCS,Local,Punjab,0.2,0,285
TCS,Local,Punjab,1.94,10000,485
TCS,Economy,Balochistan,5.07,20000,674
Leopard,Overnight,Sindh,8.61,20000,1411
TCS,Local,Islamabad,3.76,0,473
Leopard,Overnight,Islamabad,2.66,20000,906
M&P,Overnight,Pakhtunkhwa,1.53,10000,733
Pakistan Post,Local,Balochistan,7.9,0,479
Leopard,Economy,Balochistan,0.28,100000,1250
Pakistan Post,City to City,Punjab,5.03,20000,871
M&P,Overland,Pakhtunkhwa,1.91,100000,1567
Pakistan Post,Local,Pakhtunkhwa,2.59,10000,404
M&P,Economy,Punjab,5.98,20000,615
M&P,City to City,Pakhtunkhwa,1.18,0,403
TCS,Same Day,Sindh,6.76,10000,1285
Pakistan Post,City to City,Pakhtunkhwa,3.09,0,488
TCS,City to City,Sindh,1.1,0,473
M&P,Overland,Pakhtunkhwa,3.91,20000,758
TCS,Overnight,Islamabad,7.55,0,1518
TCS,Economy,Pakhtunkhwa,9.25,0,645
M&P,Local,Balochistan,4.64,0,432
Pakistan Post,Local,Sindh,1.7,10000,372
M&P,Overnight,Islamabad,1.4,20000,889
M&P,Overnight,Pakhtunkhwa,6.18,0,1101
Pakistan Post,Local,Pakhtunkhwa,0.31,0,202
Pakistan Post,Local,Balochistan,5.02,100000,1505
Pakistan Post,City to City,Islamabad,1.27,50000,928
TCS,Same Day,Islamabad,1.09,50000,1159
Leopard,Economy,Balochistan,7.49,50000,999
Leopard,Overnight,Islamabad,12.8,50000,2128
Leopard,Economy,Islamabad,0.68,0,164
Pakistan Post,City to City,Pakhtunkhwa,0.44,100000,1389
TCS,Local,Balochistan,1.75,50000,883
TCS,City to City,Pakhtunkhwa,0.79,20000,686
M&P,City to City,Punjab,3.27,0,607
M&P,Local,Sindh,0.73,100000,1351
M&P,Overland,Islamabad,3.43,0,472
Pakistan Post,Local,Balochistan,2.59,20000,528
Leopard,Overland,Punjab,1.98,10000,447
Leopard,Overnight,Balochistan,6.08,50000,1562
M&P,Local,Pakhtunkhwa,0.65,50000,869
Leopard,Economy,Punjab,0.18,0,155
TCS,Overnight,Pakhtunkhwa,0.76,10000,753
Leopard,Economy,Islamabad,3.85,0,294
Pakistan Post,Local,Punjab,10.72,0,576
Leopard,Overland,Sindh,1.13,0,239
TCS,Economy,Sindh,1.46,0,224
TCS,Local,Punjab,0.52,0,290
M&P,Overland,Sindh,0.71,10000,331
Pakistan Post,Local,Sindh,1.84,10000,361
TCS,Economy,Balochistan,7.41,20000,772
TCS,Same Day,Punjab,1.55,0,584
Leopard,Overland,Pakhtunkhwa,5.4,0,602
Pakistan Post,Local,Sindh,0.61,10000,328
Pakistan Post,City to City,Islamabad,1.28,100000,1569
TCS,Local,Islamabad,7.43,0,632
M&P,City to City,Punjab,8.03,100000,2343
Leopard,Economy,Balochistan,0.2,0,157
M&P,Overnight,Punjab,4.83,50000,1492
Pakistan Post,Local,Islamabad,2.12,10000,367
Pakistan Post,City to City,Sindh,2.32,50000,1015
Pakistan Post,Local,Pakhtunkhwa,2.25,0,268
Pakistan Post,Local,Sindh,0.47,50000,761
M&P,Economy,Islamabad,0.11,0,161
Pakistan Post,City to City,Balochistan,0.39,0,294
M&P,Economy,Punjab,3.82,0,309
Pakistan Post,Local,Punjab,10.83,20000,777
TCS,Same Day,Pakhtunkhwa,1.4,10000,672
TCS,Local,Balochistan,2.6,10000,501
TCS,Overnight,Punjab,1.3,20000,1012
TCS,Economy,Punjab,1.17,0,227
Pakistan Post,City to City,Sindh,2.01,0,415
Leopard,Overland,Punjab,1.78,10000,408
Leopard,Overnight,Balochistan,7.42,50000,1730
M&P,Economy,Islamabad,2.66,20000,495
TCS,Local,Punjab,1.1,0,320
Pakistan Post,Local,Pakhtunkhwa,1.47,20000,450
TCS,Local,Islamabad,0.93,50000,861
Leopard,Overnight,Balochistan,1.09,0,546
Pakistan Post,City to City,Sindh,0.76,0,306
Leopard,Economy,Sindh,2.27,0,207
Pakistan Post,Local,Sindh,0.65,20000,450
Leopard,Overland,Punjab,2.27,0,343
M&P,Same Day,Sindh,9.41,20000,1493
Pakistan Post,Local,Punjab,10.24,100000,1633
TCS,Overnight,Islamabad,2.08,100000,2000
Leopard,Overnight,Pakhtunkhwa,4.56,0,836
Pakistan Post,City to City,Pakhtunkhwa,0.1,100000,1386
M&P,Overland,Pakhtunkhwa,1.07,50000,798
M&P,Overnight,Sindh,0.34,20000,764
Leopard,Overland,Punjab,5.25,0,619
Leopard,Overland,Sindh,0.47,100000,1327
M&P,Overland,Pakhtunkhwa,6.4,20000,1053
Leopard,Overland,Balochistan,1.11,100000,1391
Pakistan Post,City to City,Pakhtunkhwa,0.49,0,277
M&P,Economy,Pakhtunkhwa,0.36,20000,393
M&P,City to City,Islamabad,1.53,0,468
M&P,City to City,Islamabad,4.2,0,706
Pakistan Post,City to City,Sindh,0.27,0,285
Pakistan Post,Local,Punjab,2.87,0,282
Pakistan Post,Local,Balochistan,7.99,50000,1078
Pakistan Post,City to City,Punjab,2.47,0,451
Pakistan Post,City to City,Sindh,1.65,10000,493
Pakistan Post,Local,Punjab,10.46,50000,1111
M&P,Same Day,Pakhtunkhwa,1.86,100000,1762
TCS,Local,Islamabad,2.29,20000,599
TCS,Overnight,Islamabad,0.32,50000,1289
Leopard,Overland,Balochistan,1.03,0,245
M&P,Overnight,Punjab,2.46,50000,1377
M&P,Overnight,Pakhtunkhwa,3.26,0,845
Leopard,Economy,Islamabad,3.78,0,292
Leopard,Overland,Islamabad,0.95,0,224
TCS,Economy,Pakhtunkhwa,6.17,20000,716
Leopard,Overnight,Pakhtunkhwa,8.4,10000,1256
Pakistan Post,Local,Punjab,7.41,0,440
TCS,Economy,Sindh,1.41,0,225
M&P,Overnight,Balochistan,2.69,20000,1009
Pakistan Post,Local,Balochistan,13.04,20000,861
M&P,Economy,Sindh,2.15,0,240
TCS,Overnight,Punjab,1.21,10000,887
M&P,Local,Pakhtunkhwa,2.45,10000,424
Leopard,Overnight,Sindh,0.93,20000,751
M&P,Economy,Islamabad,4.17,0,312
M&P,Local,Sindh,2.43,100000,1512
M&P,City to City,Sindh,1.25,0,420
Leopard,Overland,Pakhtunkhwa,0.41,0,198
M&P,Local,Pakhtunkhwa,10.24,50000,1209
Leopard,Economy,Punjab,2.63,0,233
TCS,Economy,Pakhtunkhwa,1.55,0,244
Pakistan Post,Local,Punjab,0.2,50000,793
Pakistan Post,Local,Punjab,1.15,0,239
Pakistan Post,Local,Punjab,0.34,100000,1399
M&P,Same Day,Pakhtunkhwa,0.39,20000,654
TCS,Local,Balochistan,0.48,50000,870
Leopard,Overnight,Punjab,3.03,50000,1361
TCS,Local,Punjab,2.89,10000,548
M&P,Overnight,Punjab,7.43,0,1218
Leopard,Economy,Punjab,13.02,50000,1219
TCS,City to City,Sindh,4.1,0,832
M&P,Local,Balochistan,5.3,0,466
TCS,Local,Islamabad,0.3,20000,548
TCS,Economy,Balochistan,2.02,0,255
TCS,Same Day,Pakhtunkhwa,5.93,0,1075
M&P,Economy,Balochistan,1.04,0,192
TCS,City to City,Pakhtunkhwa,0.36,0,388
M&P,Local,Pakhtunkhwa,4.51,0,418
TCS,Same Day,Pakhtunkhwa,0.37,100000,1644
TCS,Economy,Pakhtunkhwa,1.02,0,211
TCS,Local,Sindh,2.13,0,359
M&P,Overland,Pakhtunkhwa,1.99,0,344
M&P,City to City,Sindh,1.63,20000,685
Leopard,Economy,Sindh,0.66,0,159
TCS,Overnight,Pakhtunkhwa,4.3,0,1097
TCS,Overnight,Punjab,0.21,50000,1195
TCS,Same Day,Sindh,2.57,20000,959
Leopard,Overland,Sindh,2.66,0,379
M&P,Overnight,Islamabad,1.2,50000,1204
M&P,Same Day,Sindh,2.53,0,582
TCS,Overnight,Sindh,1.37,100000,1794
M&P,City to City,Sindh,0.36,50000,905
Leopard,Overnight,Islamabad,0.1,10000,646
M&P,Local,Pakhtunkhwa,5.37,20000,682
M&P,Overnight,Punjab,0.41,20000,771
Pakistan Post,City to City,Balochistan,2.94,10000,593
Leopard,Economy,Islamabad,0.73,100000,1269
M&P,City to City,Balochistan,4.22,0,719
M&P,Economy,Pakhtunkhwa,1.04,0,190
M&P,Economy,Islamabad,2.42,50000,790
TCS,Overnight,Punjab,1.17,10000,867
M&P,Local,Pakhtunkhwa,0.92,0,268
TCS,Overnight,Punjab,0.77,50000,1249
M&P,Local,Pakhtunkhwa,3.7,0,397
Leopard,Overland,Islamabad,12.73,100000,2518
TCS,City to City,Islamabad,1.7,10000,642
Pakistan Post,Local,Islamabad,4.04,10000,462
TCS,Local,Pakhtunkhwa,2.16,0,362
Pakistan Post,City to City,Islamabad,5.42,20000,934
Pakistan Post,City to City,Punjab,1.16,0,335
M&P,Same Day,Sindh,1.42,100000,1571
M&P,Economy,Balochistan,2.87,0,263
Pakistan Post,Local,Islamabad,2.84,0,296
Leopard,Overland,Balochistan,2.55,100000,1567
M&P,Economy,Balochistan,0.19,0,160
M&P,City to City,Balochistan,0.26,0,332
M&P,Same Day,Balochistan,2.18,0,584
Leopard,Economy,Sindh,6.66,20000,575
Pakistan Post,Local,Punjab,8.17,100000,1676
Pakistan Post,Local,Punjab,0.37,0,213
Leopard,Overnight,Islamabad,0.71,20000,797
Pakistan Post,City to City,Sindh,2.04,0,410
TCS,City to City,Islamabad,10.73,50000,2129
M&P,Same Day,Punjab,0.15,100000,1504
Leopard,Overnight,Balochistan,1.81,50000,1193
TCS,Overnight,Islamabad,4.78,20000,1355
Pakistan Post,City to City,Balochistan,0.64,50000,846
M&P,Economy,Sindh,0.36,50000,730
Pakistan Post,City to City,Punjab,1.01,100000,1543
M&P,Local,Islamabad,2.98,100000,1467
M&P,City to City,Islamabad,0.8,50000,1000
Leopard,Overnight,Punjab,1.01,0,534
Pakistan Post,City to City,Balochistan,6.28,0,746
Leopard,Economy,Punjab,4.22,50000,888
M&P,Local,Islamabad,0.14,10000,371
TCS,Local,Islamabad,0.57,0,296
Pakistan Post,Local,Punjab,3.33,0,293
M&P,Same Day,Punjab,2.37,10000,715
TCS,Overland,Pakhtunkhwa,3.95,10000,735
M&P,Overnight,Pakhtunkhwa,6.25,50000,1648
Leopard,Overnight,Punjab,0.12,0,531
Leopard,Overnight,Sindh,1.09,0,541
TCS,Overland,Sindh,0.5,0,237
TCS,Economy,Pakhtunkhwa,1.83,0,246
Pakistan Post,Local,Islamabad,2.26,0,270
TCS,Overnight,Islamabad,9.41,0,1591
TCS,Same Day,Balochistan,6.52,100000,2331
Leopard,Economy,Pakhtunkhwa,2.78,0,229
M&P,Local,Balochistan,0.54,100000,1423
M&P,City to City,Punjab,2.32,0,543
M&P,Same Day,Balochistan,5.18,10000,1006
TCS,Overland,Sindh,4.36,100000,1756
M&P,Economy,Islamabad,4.05,20000,557
Leopard,Overland,Punjab,4.3,20000,779
Leopard,Overland,Pakhtunkhwa,0.3,50000,773
TCS,Overnight,Balochistan,3.43,50000,1523
M&P,Local,Punjab,3.07,20000,563
Leopard,Overland,Punjab,8.68,0,938
M&P,Same Day,Islamabad,1.88,50000,1154
TCS,Same Day,Islamabad,2.43,0,721
TCS,Overnight,Pakhtunkhwa,2.45,0,885
M&P,Same Day,Pakhtunkhwa,1.29,0,480
TCS,Overnight,Balochistan,7.61,50000,1980
M&P,Economy,Sindh,0.94,20000,424
TCS,Local,Pakhtunkhwa,3.47,0,419
Leopard,Overland,Pakhtunkhwa,0.53,0,198
Pakistan Post,Local,Islamabad,1.47,0,242
M&P,Economy,Sindh,2.5,20000,492
Leopard,Overland,Sindh,5.42,100000,1665
M&P,Same Day,Pakhtunkhwa,0.81,100000,1628
M&P,Local,Balochistan,1.9,100000,1434
TCS,Same Day,Islamabad,2.64,10000,866
Leopard,Overland,Islamabad,0.64,20000,424
TCS,Local,Punjab,4.21,100000,1609
Leopard,Overnight,Sindh,2.3,10000,799
Pakistan Post,City to City,Pakhtunkhwa,5.36,0,649
Leopard,Overnight,Sindh,3.46,0,757
Leopard,Overnight,Sindh,2.53,10000,787
Leopard,Overland,Punjab,5.06,50000,1167
M&P,Same Day,Sindh,1.6,0,530
M&P,Local,Balochistan,5.09,0,459
M&P,Overland,Pakhtunkhwa,4.99,100000,1736
M&P,Overnight,Balochistan,2.76,100000,1883
M&P,Same Day,Punjab,1.8,10000,657
M&P,Economy,Balochistan,0.33,0,171
Pakistan Post,City to City,Pakhtunkhwa,1.82,20000,644
Pakistan Post,City to City,Sindh,0.82,0,321
Pakistan Post,Local,Pakhtunkhwa,0.6,0,215
TCS,Overnight,Sindh,3.5,0,964
M&P,City to City,Punjab,2.61,20000,806
Leopard,Overnight,Punjab,1.44,0,597
M&P,Same Day,Balochistan,0.72,100000,1558
Leopard,Overland,Punjab,5.32,0,604
Pakistan Post,Local,Pakhtunkhwa,2.55,0,280
TCS,Local,Pakhtunkhwa,5.74,0,537
Pakistan Post,Local,Balochistan,7.98,50000,1020
TCS,City to City,Pakhtunkhwa,0.23,0,395
TCS,Overland,Balochistan,3.84,0,606
TCS,Economy,Pakhtunkhwa,2.16,0,283
Pakistan Post,City to City,Balochistan,3.09,0,498
Leopard,Economy,Pakhtunkhwa,10.02,100000,1702
Leopard,Overnight,Punjab,0.12,100000,1694
M&P,Overnight,Islamabad,2.31,50000,1268
Leopard,Economy,Sindh,1.45,0,191
M&P,Overland,Islamabad,6.49,100000,1969
Pakistan Post,Local,Pakhtunkhwa,5.79,10000,493
M&P,Same Day,Punjab,0.26,0,430
M&P,Overland,Sindh,1.89,50000,923
M&P,Local,Punjab,4.79,0,435
TCS,Overland,Pakhtunkhwa,0.4,50000,819
M&P,Economy,Sindh,4.82,0,330
Leopard,Overland,Balochistan,0.79,0,222
Leopard,Overland,Punjab,2.52,100000,1480
Leopard,Overnight,Pakhtunkhwa,6.68,50000,1622
M&P,City to City,Islamabad,2.05,20000,696
M&P,City to City,Islamabad,3.67,0,641
Leopard,Overnight,Pakhtunkhwa,1.37,0,601
Pakistan Post,Local,Pakhtunkhwa,1.72,0,243
TCS,Same Day,Punjab,0.55,0,513
M&P,City to City,Islamabad,5.92,0,908
Pakistan Post,City to City,Balochistan,3.44,0,532
Pakistan Post,City to City,Balochistan,0.41,20000,508
M&P,Overland,Balochistan,3.99,0,540
Leopard,Economy,Pakhtunkhwa,1.51,0,185
Leopard,Overland,Sindh,6.48,100000,1754
Leopard,Overland,Islamabad,8.42,50000,1496
Leopard,Overland,Balochistan,2.52,0,356
TCS,Overnight,Punjab,0.98,100000,1798
Pakistan Post,Local,Islamabad,0.15,0,213
TCS,Same Day,Punjab,2.2,0,691
Leopard,Overnight,Punjab,0.63,0,538
Leopard,Economy,Balochistan,2.39,20000,439
M&P,Local,Balochistan,2.16,10000,435
M&P,City to City,Balochistan,0.16,0,330
TCS,Economy,Pakhtunkhwa,0.47,0,199
TCS,Local,Punjab,7.03,0,630
Leopard,Economy,Balochistan,1.08,0,171
Leopard,Economy,Punjab,0.47,100000,1374
Leopard,Economy,Balochistan,1.41,0,183
TCS,City to City,Islamabad,6.59,10000,1274
Pakistan Post,City to City,Balochistan,3.99,100000,1707
M&P,Same Day,Punjab,1.69,100000,1684
TCS,Overnight,Islamabad,1.55,0,806
TCS,Economy,Punjab,7.09,20000,743
Leopard,Overnight,Balochistan,2.19,0,649
Leopard,Economy,Punjab,9.7,20000,763
M&P,Local,Balochistan,2.99,0,361
Pakistan Post,City to City,Sindh,2.51,50000,979
Leopard,Overland,Sindh,0.98,100000,1339
Leopard,Overland,Balochistan,12.52,100000,2398
M&P,City to City,Balochistan,0.76,0,381
TCS,City to City,Sindh,1.91,50000,1077
Pakistan Post,Local,Pakhtunkhwa,1.09,100000,1332
Leopard,Overland,Islamabad,2.41,10000,469
M&P,Economy,Sindh,2.41,10000,354
M&P,Overland,Islamabad,4.83,20000,894
Pakistan Post,Local,Islamabad,2.11,0,253
TCS,Economy,Islamabad,2.61,0,299
Pakistan Post,Local,Punjab,6.37,0,394
Leopard,Overnight,Sindh,6.34,0,978
Pakistan Post,Local,Punjab,1.55,0,249
Pakistan Post,City to City,Sindh,8.92,0,917
M&P,Same Day,Sindh,0.84,0,442
Leopard,Overnight,Punjab,0.22,100000,1601
Pakistan Post,City to City,Pakhtunkhwa,4.68,0,613
TCS,City to City,Pakhtunkhwa,7.2,100000,2369
M&P,City to City,Balochistan,7.37,10000,1160
TCS,City to City,Balochistan,9.49,100000,2473
Pakistan Post,City to City,Balochistan,1.84,100000,1479
Pakistan Post,City to City,Balochistan,1.6,10000,501
M&P,Same Day,Sindh,5.32,0,899
M&P,City to City,Islamabad,7.74,0,1100
Leopard,Overland,Sindh,6.86,50000,1353
Leopard,Overnight,Sindh,6.53,20000,1309
TCS,Economy,Pakhtunkhwa,2.99,20000,541
Leopard,Overnight,Islamabad,0.72,10000,635
TCS,Overnight,Sindh,0.53,10000,749
Leopard,Overland,Pakhtunkhwa,0.87,10000,345
TCS,Same Day,Balochistan,1.02,0,550
Pakistan Post,City to City,Punjab,2.7,0,470
Pakistan Post,Local,Pakhtunkhwa,2.71,100000,1473
Pakistan Post,City to City,Pakhtunkhwa,1.55,0,364
TCS,Economy,Sindh,3.0,0,304
Pakistan Post,Local,Islamabad,1.47,20000,461
Leopard,Overland,Sindh,1.95,0,316
Pakistan Post,City to City,Sindh,0.35,20000,501
Leopard,Overnight,Pakhtunkhwa,3.45,10000,891
Pakistan Post,City to City,Punjab,0.18,10000,393
M&P,Local,Sindh,0.22,0,247
TCS,Economy,Pakhtunkhwa,3.03,0,326
Pakistan Post,City to City,Sindh,4.39,50000,1137
M&P,Local,Sindh,1.87,0,292
Pakistan Post,City to City,Islamabad,1.26,0,347
TCS,Overland,Pakhtunkhwa,1.14,50000,890
Pakistan Post,City to City,Punjab,0.63,0,292
Pakistan Post,City to City,Punjab,2.46,50000,1008
TCS,Overnight,Balochistan,1.46,10000,907
TCS,City to City,Islamabad,6.75,100000,2247
M&P,City to City,Pakhtunkhwa,13.7,0,1625
Leopard,Overnight,Pakhtunkhwa,1.84,0,630
TCS,Local,Balochistan,3.18,0,438
TCS,Local,Pakhtunkhwa,4.81,50000,1124
Leopard,Overnight,Balochistan,1.66,0,587
M&P,Same Day,Sindh,0.86,10000,537
Pakistan Post,City to City,Sindh,0.65,10000,410
Pakistan Post,Local,Punjab,0.11,100000,1301
Pakistan Post,Local,Sindh,0.81,100000,1357
TCS,Overland,Sindh,1.38,0,333
Leopard,Overland,Sindh,1.44,0,262
TCS,Overland,Islamabad,1.26,0,327
M&P,Economy,Balochistan,1.59,0,203
Leopard,Economy,Balochistan,0.22,0,155
Pakistan Post,Local,Pakhtunkhwa,0.69,0,213
M&P,Overnight,Pakhtunkhwa,0.73,10000,657
Leopard,Overnight,Sindh,1.88,20000,875
M&P,City to City,Pakhtunkhwa,1.51,0,445
M&P,City to City,Islamabad,1.67,0,466
Leopard,Overnight,Pakhtunkhwa,0.18,50000,1132
Leopard,Overnight,Balochistan,1.62,20000,798
M&P,Local,Balochistan,8.7,0,590
TCS,Local,Islamabad,7.09,50000,1188
Pakistan Post,City to City,Sindh,0.29,0,290
Pakistan Post,City to City,Balochistan,0.14,100000,1368
TCS,Overland,Punjab,7.59,10000,1156
TCS,Same Day,Balochistan,1.03,0,561
